NAME,TEAM,POS,P+R,P+A,P+R+A,VI,ORtg,DRtg,TS%,eFG%,USG%,TO%
James Johnson,Ind,F,1.3,1.8,2.2,5.3,79.2,100.1,0.368,0.3,14.1,32.4
James Wiseman,Det,C,12.4,7.9,13.3,7.5,118.2,107.6,0.637,0.613,16.3,17.8
Jarace Walker,Ind,F,5.5,4.8,6.8,7.8,108.3,112.7,0.527,0.509,16.1,13.3
Jared Butler,Was,G,7.7,9.4,10.9,8.8,110.8,113.4,0.579,0.547,19.9,19.9
Jared Rhoden,Det,G,6.8,5.7,7.6,5.4,114.8,111.3,0.597,0.591,13.3,9.6
Jaren Jackson Jr.,Mem,F,28.0,24.8,30.4,8.2,106.8,106.3,0.553,0.495,30.4,12.1
Jarred Vanderbilt,Lal,F,9.9,6.4,11.2,6.2,113.1,107.9,0.578,0.553,11.7,19.7
Jarrett Allen,Cle,C,27.0,19.2,29.8,9.8,130.9,107.7,0.664,0.634,19.4,12.9
Jason Preston,Uta,G,4.1,4.0,6.4,8.3,106.1,119.0,0.316,0.316,12.4,9.5
Javon Freeman-Liberty,Tor,G,10.1,8.8,12.0,7.5,107.3,115.2,0.547,0.484,17.4,16.7
Javonte Green,Chi,G,19.7,12.8,20.2,5.9,131.5,108.1,0.681,0.667,16.7,8.5
Javonte Smart,Phi,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,Lal,C-F,7.3,4.8,7.8,6.0,128.1,102.4,0.718,0.72,12.5,19.7
Jay Huff,Den,C,1.7,1.3,1.8,6.7,0.0,0.0,0.724,0.7,14.9,6.1
Jaylen Brown,Bos,F,28.5,26.6,32.1,9.2,113.4,106.7,0.58,0.557,28.9,11.7
Jaylen Nowell,Det,G,10.0,8.3,10.8,6.9,115.9,119.9,0.585,0.565,20.5,7.9
Jaylin Williams,Okc,F,7.4,5.6,9.0,8.6,119.1,102.3,0.561,0.533,13.5,13.0
Jayson Tatum,Bos,F,35.0,31.8,39.9,11.5,120.6,107.6,0.604,0.552,30.2,11.6
Jeff Dowtin Jr.,Phi,G,6.0,6.6,8.3,8.7,141.0,117.1,0.689,0.681,13.0,12.1
Jeff Green,Hou,F,8.8,7.4,9.7,5.7,118.7,111.4,0.59,0.529,15.5,11.2
Jerami Grant,Por,F,24.5,23.8,27.3,7.0,113.1,116.6,0.573,0.516,25.7,12.0
Jeremiah Robinson-Earl,Nor,F,4.9,3.5,5.4,6.5,112.1,108.3,0.564,0.542,15.4,14.4
Jeremy Sochan,San,G,18.1,15.0,21.4,8.5,103.6,111.9,0.513,0.483,18.8,15.3
Jericho Sims,Nyk,C,5.3,2.6,5.9,4.9,136.3,108.5,0.702,0.691,6.0,22.4
Jermaine Samuels Jr.,Hou,F,2.4,1.6,2.6,5.9,148.0,108.4,0.672,0.643,10.5,0.0
Jerome Robinson,Gol,G,1.7,1.6,1.9,4.7,0.0,0.0,0.41,0.364,20.8,5.7
Jett Howard,Orl,G,2.0,1.9,2.3,6.2,0.0,0.0,0.457,0.45,22.9,9.0
Jevon Carter,Chi,G,5.8,6.3,7.1,5.0,101.3,114.6,0.485,0.484,17.7,9.0
Jimmy Butler,Mia,F,26.1,25.7,31.1,9.6,129.2,111.9,0.626,0.537,24.0,11.4
Jock Landale,Hou,C,8.0,6.1,9.1,7.7,124.7,107.9,0.584,0.539,14.8,13.1
Joe Harris,Det,G-F,3.3,3.1,3.9,4.0,102.4,113.0,0.489,0.487,11.0,9.3
Joe Ingles,Orl,F-G,6.4,7.3,9.4,7.0,119.1,107.3,0.612,0.59,11.6,22.8
Joel Embiid,Phi,C,45.7,40.3,51.3,15.3,124.0,104.8,0.644,0.561,39.6,15.0
John Collins,Uta,F,23.6,16.2,24.7,7.4,119.8,111.1,0.621,0.59,20.4,11.6
John Konchar,Mem,G,8.9,6.3,10.9,6.4,112.9,110.3,0.537,0.514,9.7,18.1
Johnny Davis,Was,G,4.5,3.7,5.1,4.4,98.4,115.6,0.462,0.448,12.2,7.8
Johnny Juzang,Uta,G,9.0,8.4,10.2,5.4,119.7,118.3,0.62,0.609,14.5,10.5
Jonas Valanciunas,Nor,C,21.0,14.3,23.1,10.4,122.8,101.1,0.619,0.585,20.8,13.4
Jonathan Isaac,Orl,F,11.3,7.3,11.8,6.3,123.7,104.4,0.61,0.584,16.7,8.6
Jonathan Kuminga,Gol,F,20.9,18.3,23.1,8.4,116.3,109.8,0.598,0.56,24.1,12.4
Jontay Porter,Tor,C-F,7.6,6.7,9.9,9.2,112.1,109.7,0.514,0.481,15.8,16.8
Jordan Clarkson,Uta,G,20.5,22.2,25.6,8.7,106.5,120.8,0.521,0.469,26.1,15.2
Jordan Ford,Sac,G,2.3,2.3,2.7,6.3,0.0,0.0,0.761,0.714,17.4,11.8
Jordan Goodwin,Mem,G,18.0,14.5,22.5,9.7,100.0,109.2,0.42,0.399,19.8,12.5
Jordan Hawkins,Nor,G,10.0,8.9,11.1,6.0,108.6,111.9,0.533,0.501,19.9,8.1
Jordan McLaughlin,Min,G,4.8,5.4,6.7,7.5,136.3,107.8,0.638,0.628,12.1,11.6
Jordan Miller,Lac,G,2.3,1.6,2.3,0.0,0.0,0.0,0.658,0.611,16.9,9.6
Jordan Nwora,Tor,F,11.4,9.2,12.6,8.4,104.8,114.6,0.573,0.541,22.3,15.9
Jordan Poole,Was,G,20.1,21.8,24.5,7.9,101.9,114.4,0.529,0.491,26.4,13.7
Jordan Walsh,Bos,G,3.9,2.2,4.4,5.6,105.4,97.8,0.472,0.467,9.8,16.5
Jose Alvarado,Nor,G,9.4,9.2,11.5,7.1,112.3,106.7,0.54,0.525,17.3,10.4
Josh Giddey,Okc,G,18.8,17.2,23.6,11.5,111.1,109.3,0.547,0.523,23.1,16.5
Josh Green,Dal,G,11.5,10.5,13.8,5.9,115.3,112.4,0.588,0.575,13.1,13.8
Josh Hart,Nyk,G,17.7,13.5,21.8,8.2,114.5,107.9,0.522,0.493,13.5,14.8
Josh Minott,Min,F,2.1,1.8,2.3,8.6,0.0,0.0,0.593,0.528,21.4,5.2
Josh Okogie,Pho,F,7.2,5.7,8.3,5.9,118.7,111.1,0.552,0.488,13.0,14.9
Josh Richardson,Mia,G,12.7,12.3,15.1,6.3,115.8,109.4,0.573,0.539,16.5,9.4
Joshua Primo,Lac,G,1.5,1.0,1.5,0.0,36.6,125.2,0.333,0.333,29.8,57.1
Jrue Holiday,Bos,G,17.9,17.3,22.7,8.4,121.0,110.7,0.597,0.581,16.3,15.2
Juan Toscano-Anderson,Sac,F,1.9,1.0,2.3,5.7,83.3,95.2,0.292,0.292,11.4,14.3
Jules Bernard,Was,G,5.3,4.7,6.1,8.3,108.6,115.5,0.544,0.539,21.4,11.1
Julian Champagnie,San,F,9.6,8.2,11.0,6.0,110.9,115.4,0.57,0.534,14.4,12.4
Julian Phillips,Chi,F,3.1,2.6,3.5,4.2,106.5,108.6,0.521,0.494,13.0,11.5
Julian Strawther,Den,G,5.8,5.5,6.7,6.2,99.0,107.5,0.482,0.462,20.7,9.4
Julius Randle,Nyk,F,33.2,28.9,38.1,11.7,112.8,107.2,0.569,0.518,29.9,16.0
Justin Champagnie,Was,G-F,9.5,7.2,10.7,7.6,110.2,116.7,0.526,0.494,17.0,11.3
Justin Holiday,Den,F-G,5.3,5.2,6.4,4.8,123.7,110.0,0.598,0.595,10.6,6.7
Justin Jackson,Min,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Minaya,Por,F,3.4,2.4,4.1,4.3,98.9,114.0,0.391,0.378,9.7,10.8
